Year ,Team,Record ,SRS,Pace,ORtg,DRtg ,Net Rating,PTS,REB,AST,STL,BLK,TOV,3PA,3P%,GM,Coach,Era,Finals Opponent,Result,Notes
2000,IND,56-26,4.15,93.1,108.5,103.6,4.9,8306,3454,1857,559,422,1159,1487,0.392,Donnie Walsh,Larry Bird,T,LAL,(2-4),"August 1, 1999
Traded Antonio Davis to the Toronto Raptors for Jonathan Bender.

October 1, 1999
Signed Žan Tabak as a free agent.

October 4, 1999
Signed Mitchell Butler as a free agent.

October 30, 1999
Waived Mark Pope.

Waived Mitchell Butler.

June 28, 2000
Drafted Primož Brezec in the 1st round (27th pick) of the 2000 NBA Draft.

Drafted Jaquay Walls in the 2nd round (56th pick) of the 2000 NBA Draft.
"
2001,PHI,56-26,3.63,90.6,103.6,98.9,4.7,7763,3675,1692,690,408,1292,803,0.326,Billy King,Larry Brown,T,LAL,(1-4),"August 17, 2000
Signed Jermaine Jackson as a free agent.

October 2, 2000
Signed Pepe Sánchez as a free agent.

Signed Ademola Okulaja as a free agent.

October 28, 2000
Signed Vernon Maxwell as a free agent.

October 30, 2000
Waived Jermaine Jackson.

December 19, 2000
Waived Ademola Okulaja.

December 22, 2000
Signed Rodney Buford as a free agent.

Signed Kevin Ollie as a free agent.

Waived Vernon Maxwell.

February 22, 2001
Traded Toni Kukoč, Nazr Mohammed, Theo Ratliff and Pepe Sánchez to the Atlanta Hawks for Roshown McLeod and Dikembe Mutombo.

March 7, 2001
Signed Anthony Miller as a free agent.

March 15, 2001
Signed Pepe Sánchez as a free agent.

Waived Anthony Miller.

April 6, 2001
Signed Raja Bell to a 10-day contract, then signed to a contract for the rest of the season.

June 26, 2001
Traded TO_TRADE to the Los Angeles Clippers for cash and a 2001 2nd round draft pick (Damone Brown was later selected).

June 27, 2001
Drafted Samuel Dalembert in the 1st round (26th pick) of the 2001 NBA Draft.

Drafted Damone Brown in the 2nd round (37th pick) of the 2001 NBA Draft.

Drafted Alvin Jones in the 2nd round (57th pick) of the 2001 NBA Draft."
2002,NJN,52-30,3.67,91.8,104,99.5,4.5,7889,3554,1990,716,490,1189,1194,0.338,Rod Thorn,Byron Scott ,T,LAL,(0-4),"July 18, 2001
Traded Stephon Marbury, Johnny Newman and Soumaila Samake to the Phoenix Suns for Chris Dudley and Jason Kidd.

August 7, 2001
Signed Todd MacCulloch as a free agent.

August 15, 2001
Waived Chris Dudley.

October 1, 2001
Signed Paul Grant.

October 2, 2001
Signed David Vanterpool as a free agent.

Signed Donny Marshall as a free agent.

Signed Derrick Dial as a free agent.

October 3, 2001
Waived Derrick Dial.

October 7, 2001
Waived Paul Grant.

October 10, 2001
Signed Steve Goodrich as a free agent.

October 17, 2001
Waived Jim McIlvaine.

October 22, 2001
Waived David Vanterpool.

October 25, 2001
Waived Donny Marshall.

Waived Steve Goodrich.

October 30, 2001
Signed Reggie Slater as a free agent.

November 26, 2001
Waived Reggie Slater.

November 27, 2001
Signed Steve Goodrich as a free agent.

January 7, 2002
Signed Donny Marshall to two 10-day contracts, then signed to a contract for the rest of the season.

Signed Anthony Johnson to two 10-day contracts, then signed to a contract for the rest of the season.

Waived Steve Goodrich.

June 26, 2002
Drafted Nenad Krstić in the 1st round (24th pick) of the 2002 NBA Draft.

Drafted Tamar Slay in the 2nd round (54th pick) of the 2002 NBA Draft."
2003,NJN,49-33,4.42,91.6,103.8,98.1,5.7,7820,3519,1887,717,374,1212,1041,0.332,Rod Thorn,Byron Scott ,T,SAS,(2-4),"August 1, 2002
Signed Chris Childs as a free agent.

August 6, 2002
Traded Todd MacCulloch and Keith Van Horn to the Philadelphia 76ers for Dikembe Mutombo.

August 14, 2002
Signed Rodney Rogers as a free agent.

October 25, 2002
Signed Anthony Johnson as a free agent.

October 28, 2002
Waived Donny Marshall.

March 7, 2003
Waived Chris Childs.

March 11, 2003
Signed Donny Marshall to two 10-day contracts, then signed to a contract for the rest of the season.

June 26, 2003
Drafted Zoran Planinić in the 1st round (22nd pick) of the 2003 NBA Draft.

Drafted Kyle Korver in the 2nd round (51st pick) of the 2003 NBA Draft.

Sold player rights to Kyle Korver to the Philadelphia 76ers."
2004,LAL,56-26,4.35,92.3,105.5,101.3,4.2,8052,3536,1948,682,379,1132,1115,0.327,Mitch Kupchak,Phil Jackson,T,DET,(1-4),"July 16, 2003
Signed Gary Payton as a free agent.

Signed Karl Malone as a free agent.

July 24, 2003
Signed Jamal Sampson as a free agent.

July 29, 2003
Signed Horace Grant as a free agent.

August 13, 2003
Signed Maurice Carter as a free agent.

Signed Ime Udoka as a free agent.

October 1, 2003
Signed Bryon Russell as a free agent.

October 14, 2003
Waived Maurice Carter.

January 7, 2004
Waived Jannero Pargo.

January 30, 2004
Signed Maurice Carter to the first of two 10-day contracts.

June 22, 2004
Lost Jamal Sampson to the Charlotte Bobcats in the NBA expansion draft.

June 24, 2004
Drafted Sasha Vujačić in the 1st round (27th pick) of the 2004 NBA Draft.

Drafted Marcus Douthit in the 2nd round (56th pick) of the 2004 NBA Draft."
2005,DET,54-28,3.31,87.2,105.6,101.2,4.4,7653,3561,1787,576,497,1133,1053,0.345,Joe Dumars,Larry Brown,T,SAS,(3-4),"July 16, 2004
Signed Antonio McDyess as a free agent.

July 21, 2004
Signed Ronald Dupree as a free agent.

August 4, 2004
Signed Horace Jenkins as a free agent.

Traded Corliss Williamson to the Philadelphia 76ers for Derrick Coleman and Amal McCaskill.

October 1, 2004
Signed Smush Parker as a free agent.

Waived Amal McCaskill.

January 4, 2005
Waived Smush Parker.

January 5, 2005
Signed Anthony Goldwire to the first of two 10-day contracts.

Waived Derrick Coleman.

January 21, 2005
Traded Elden Campbell and a 2006 1st round draft pick (Joel Freeland was later selected) to the Utah Jazz for Carlos Arroyo.

January 25, 2005
Released Anthony Goldwire.

March 4, 2005
Signed Elden Campbell as a free agent.

June 28, 2005
Drafted Jason Maxiell in the 1st round (26th pick) of the 2005 NBA Draft.

Drafted Amir Johnson in the 2nd round (56th pick) of the 2005 NBA Draft.

Drafted Alex Acker in the 2nd round (60th pick) of the 2005 NBA Draft."
2006,DAL,60-22,5.96,87.8,111.8,105,6.9,8130,3461,1473,593,488,1112,1113,0.374,Donn Nelson,Avery Johnson,T,MIA,(2-4),"August 2, 2005
Signed Josh Powell as a free agent.

August 5, 2005
Signed Rawle Marshall as a free agent.

August 19, 2005
Signed Doug Christie as a free agent.

Signed DeSagana Diop as a free agent.

October 3, 2005
Signed Kaniel Dickens as a free agent.

October 26, 2005
Waived Kaniel Dickens.

November 25, 2005
Waived Doug Christie.

November 28, 2005
Signed Adrian Griffin as a free agent.

December 29, 2005
Assigned Rawle Marshall to the Fort Worth Flyers of the G-League.

February 26, 2006
Recalled Rawle Marshall from the Fort Worth Flyers of the G-League.

February 27, 2006
Assigned Josh Powell to the Fort Worth Flyers of the G-League.

March 4, 2006
Recalled Josh Powell from the Fort Worth Flyers of the G-League.

March 7, 2006
Assigned Pavel Podkolzin to the Fort Worth Flyers of the G-League.

April 20, 2006
Assigned Rawle Marshall to the Fort Worth Flyers of the G-League.

Assigned Pavel Podkolzin to the Fort Worth Flyers of the G-League.

April 23, 2006
Recalled Rawle Marshall from the Fort Worth Flyers of the G-League.

June 28, 2006
Drafted Maurice Ager in the 1st round (28th pick) of the 2006 NBA Draft.

Drafted J.R. Pinnock in the 2nd round (58th pick) of the 2006 NBA Draft.

Traded J.R. Pinnock to the Los Angeles Lakers for a 2007 2nd round draft pick (Renaldas Seibutis was later selected)."
2007,CLE,50-32,3.33,90.8,105.5,101.3,4.2,7934,3568,1708,625,353,1177,1404,0.352,Danny Ferry,Mike Brown,T,SAS,(0-4),"Transactions 
August 18, 2006
Signed Scot Pollard as a free agent.

Traded Martynas Andriuškevičius to the Chicago Bulls for Eddie Basden.

September 5, 2006
Signed David Wesley as a free agent.

October 13, 2006
Traded Luke Jackson and cash to the Boston Celtics for Dwayne Jones. Cleveland also received a trade exception from Boston.

October 24, 2006
Stephen Graham claimed on waivers by the Portland Trail Blazers.

Waived Stephen Graham.

March 2, 2007
Assigned Shannon Brown to the Albuquerque Thunderbirds of the G-League.

March 3, 2007
Recalled Shannon Brown from the Albuquerque Thunderbirds of the G-League.

March 23, 2007
Assigned Dwayne Jones to the Albuquerque Thunderbirds of the G-League.

March 26, 2007
Recalled Dwayne Jones from the Albuquerque Thunderbirds of the G-League."
2008,LAL,57-25,7.34,95.6,113,105.5,7.6,8904,3620,2003,654,438,1156,1751,0.378,Mitch Kupchak,Phil Jackson,T,BOS,(2-4),"July 20, 2007
Signed Derek Fisher as a free agent.

July 30, 2007
Signed Coby Karl as a free agent.

November 20, 2007
Traded Brian Cook and Maurice Evans to the Orlando Magic for Trevor Ariza.

November 28, 2007
Assigned Coby Karl to the Los Angeles D-Fenders of the G-League.

December 24, 2007
Recalled Coby Karl from the Los Angeles D-Fenders of the G-League.

January 21, 2008
Signed D.J. Mbenga to two 10-day contracts, then signed to a contract for the rest of the season.

February 1, 2008
Traded Kwame Brown, Javaris Crittenton, Marc Gasol, Aaron McKie, a 2008 1st round draft pick (Donté Greene was later selected) and a 2010 1st round draft pick (Greivis Vásquez was later selected) to the Memphis Grizzlies for Pau Gasol and a 2010 2nd round draft pick (Devin Ebanks was later selected).

February 14, 2008
Assigned Coby Karl to the Los Angeles D-Fenders of the G-League.

February 19, 2008
Recalled Coby Karl from the Los Angeles D-Fenders of the G-League.

March 21, 2008
Signed Ira Newble to a 10-day contract, then signed to a contract for the rest of the season.

April 5, 2008
Assigned Coby Karl to the Los Angeles D-Fenders of the G-League.

April 19, 2008
Recalled Coby Karl from the Los Angeles D-Fenders of the G-League.

June 26, 2008
Drafted Joe Crawford in the 2nd round (58th pick) of the 2008 NBA Draft."
2009,ORL,59-23,6.48,92.3,109.2,101.9,7.2,8286,3547,1593,570,439,1142,2147,0.381,Otis Smith,Stan Van Gundy,T,LAL,(1-4),"July 10, 2008
Signed Mickaël Piétrus as a free agent.

July 15, 2008
Signed Anthony Johnson as a free agent.

July 21, 2008
Sold player rights to Keyon Dooling to the New Jersey Nets.

July 29, 2008
Waived James Augustine.

September 12, 2008
Pat Garrity retired.

September 25, 2008
Signed Jeremy Richardson as a free agent.

Signed Dwayne Jones as a free agent.

Signed Mike Wilks as a free agent.

October 23, 2008
Waived Dwayne Jones.

February 5, 2009
Traded Keith Bogans and cash to the Milwaukee Bucks for Tyronn Lue.

February 19, 2009
As part of a 3-team trade, the Orlando Magic traded Adonal Foyle, Mike Wilks and a 2009 1st round draft pick (DeMarre Carroll was later selected) to the Memphis Grizzlies; the Orlando Magic traded Brian Cook to the Houston Rockets; the Houston Rockets traded Rafer Alston to the Orlando Magic; and the Memphis Grizzlies traded Kyle Lowry to the Houston Rockets.

March 23, 2009
Signed Adonal Foyle as a free agent.

June 25, 2009
Traded Rafer Alston, Tony Battie and Courtney Lee to the New Jersey Nets for Ryan Anderson and Vince Carter."
